COD_IBGE|NIVEL_IBGE|NIVEL_NOME|MUNICIPIO|POPULACAO|UF
2104206|N6|Município|Fortuna|17812|MA
2104305|N6|Município|Godofredo Viana|12104|MA
2104404|N6|Município|Gonçalves Dias|17953|MA
2104503|N6|Município|Governador Archer|10931|MA
2104552|N6|Município|Governador Edison Lobão|18740|MA
2104602|N6|Município|Governador Eugênio Barros|14703|MA
2104628|N6|Município|Governador Luiz Rocha|7878|MA
2104651|N6|Município|Governador Newton Bello|10121|MA
2104677|N6|Município|Governador Nunes Freire|25502|MA
2104701|N6|Município|Graça Aranha|6261|MA
2104800|N6|Município|Grajaú|70692|MA
2104909|N6|Município|Guimarães|11966|MA
2105005|N6|Município|Humberto de Campos|29143|MA
2105104|N6|Município|Icatu|27423|MA
2105153|N6|Município|Igarapé do Meio|14470|MA
2105203|N6|Município|Igarapé Grande|11453|MA
2105302|N6|Município|Imperatriz|259980|MA
2105351|N6|Município|Itaipava do Grajaú|16158|MA
2105401|N6|Município|Itapecuru Mirim|69233|MA
2105427|N6|Município|Itinga do Maranhão|26134|MA
2105450|N6|Município|Jatobá|10464|MA
2105476|N6|Município|Jenipapo dos Vieiras|17123|MA
2105500|N6|Município|João Lisboa|23677|MA
2105609|N6|Município|Joselândia|16228|MA
2105658|N6|Município|Junco do Maranhão|4334|MA
2105708|N6|Município|Lago da Pedra|50959|MA
2105807|N6|Município|Lago do Junco|10900|MA
2105906|N6|Município|Lago Verde|16369|MA
2105922|N6|Município|Lagoa do Mato|11280|MA
2105948|N6|Município|Lago dos Rodrigues|8841|MA
2105963|N6|Município|Lagoa Grande do Maranhão|11534|MA
2105989|N6|Município|Lajeado Novo|7653|MA
2106003|N6|Município|Lima Campos|11943|MA
2106102|N6|Município|Loreto|12271|MA
2106201|N6|Município|Luís Domingues|7016|MA
2106300|N6|Município|Magalhães de Almeida|20228|MA
2106326|N6|Município|Maracaçumé|21773|MA
2106359|N6|Município|Marajá do Sena|7757|MA
2106375|N6|Município|Maranhãozinho|16754|MA
2106409|N6|Município|Mata Roma|17122|MA
2106508|N6|Município|Matinha|23591|MA
2106607|N6|Município|Matões|34099|MA
2106631|N6|Município|Matões do Norte|17316|MA
2106672|N6|Município|Milagres do Maranhão|8502|MA
2106706|N6|Município|Mirador|21045|MA
2106755|N6|Município|Miranda do Norte|29121|MA
2106805|N6|Município|Mirinzal|15059|MA
