UF;COD_MUN;NM_MUN;REDE;NOTA
PA;1506708;Santana do Araguaia;Pública;0.0
PA;1506807;Santarém;Estadual;3.4
PA;1506807;Santarém;Federal;0.0
PA;1506807;Santarém;Pública;3.4
PA;1506906;Santarém Novo;Estadual;0.0
PA;1506906;Santarém Novo;Pública;0.0
PA;1507003;Santo Antônio do Tauá;Estadual;2.7
PA;1507003;Santo Antônio do Tauá;Pública;2.7
PA;1507102;São Caetano de Odivelas;Estadual;0.0
PA;1507102;São Caetano de Odivelas;Pública;0.0
PA;1507151;São Domingos do Araguaia;Estadual;0.0
PA;1507151;São Domingos do Araguaia;Pública;0.0
PA;1507201;São Domingos do Capim;Estadual;2.4
PA;1507201;São Domingos do Capim;Pública;2.4
PA;1507300;São Félix do Xingu;Estadual;0.0
PA;1507300;São Félix do Xingu;Pública;0.0
PA;1507409;São Francisco do Pará;Estadual;0.0
PA;1507409;São Francisco do Pará;Pública;0.0
PA;1507458;São Geraldo do Araguaia;Estadual;2.8
PA;1507458;São Geraldo do Araguaia;Pública;2.8
PA;1507466;São João da Ponta;Estadual;0.0
PA;1507466;São João da Ponta;Pública;0.0
PA;1507474;São João de Pirabas;Estadual;0.0
PA;1507474;São João de Pirabas;Pública;0.0
PA;1507508;São João do Araguaia;Estadual;0.0
PA;1507508;São João do Araguaia;Pública;0.0
