UF;tipo_de_crime;ano;qtd;taxa_100mil_hab
MA;Estupro (incluindo Estupro de Vulnerável);2020;1663;23.37447597
MG;Estupro (incluindo Estupro de Vulnerável);2020;4668;21.92304148
MS;Estupro (incluindo Estupro de Vulnerável);2020;2331;82.97163018
MT;Estupro (incluindo Estupro de Vulnerável);2020;1613;45.74303362
PA;Estupro (incluindo Estupro de Vulnerável);2020;3290;37.85636329
PB;Estupro (incluindo Estupro de Vulnerável);2020;371;9.184812034
PE;Estupro (incluindo Estupro de Vulnerável);2020;2549;26.50619173
PI;Estupro (incluindo Estupro de Vulnerável);2020;956;29.133196
PR;Estupro (incluindo Estupro de Vulnerável);2020;5896;51.19459852
RJ;Estupro (incluindo Estupro de Vulnerável);2020;4746;27.32896665
RN;Estupro (incluindo Estupro de Vulnerável);2020;555;15.70385084
RO;Estupro (incluindo Estupro de Vulnerável);2020;932;51.87980807
RR;Estupro (incluindo Estupro de Vulnerável);2020;422;66.85879328
RS;Estupro (incluindo Estupro de Vulnerável);2020;4273;37.40707432
SC;Estupro (incluindo Estupro de Vulnerável);2020;3646;50.27230603
SE;Estupro (incluindo Estupro de Vulnerável);2020;617;26.6083382
SP;Estupro (incluindo Estupro de Vulnerável);2020;11023;23.81326169
TO;Estupro (incluindo Estupro de Vulnerável);2020;823;51.75293413
AC;Estupro (incluindo Estupro de Vulnerável);2021;587;64.72770257
AL;Estupro (incluindo Estupro de Vulnerável);2021;839;24.93053473
AM;Estupro (incluindo Estupro de Vulnerável);2021;753;17.63468107
AP;Estupro (incluindo Estupro de Vulnerável);2021;531;60.50502898
BA;Estupro (incluindo Estupro de Vulnerável);2021;3180;21.22081904
Brasil;Estupro (incluindo Estupro de Vulnerável);2021;66020;30.94915184
CE;Estupro (incluindo Estupro de Vulnerável);2021;1929;20.87531302
DF;Estupro (incluindo Estupro de Vulnerável);2021;593;19.16411495
ES;Estupro (incluindo Estupro de Vulnerável);2021;1447;35.21959797
GO;Estupro (incluindo Estupro de Vulnerável);2021;3069;42.58602787
MA;Estupro (incluindo Estupro de Vulnerável);2021;1903;26.60324758
MG;Estupro (incluindo Estupro de Vulnerável);2021;4584;21.40863294
MS;Estupro (incluindo Estupro de Vulnerável);2021;2455;86.46838462
MT;Estupro (incluindo Estupro de Vulnerável);2021;1661;46.56268694
PA;Estupro (incluindo Estupro de Vulnerável);2021;3904;44.47926223
PB;Estupro (incluindo Estupro de Vulnerável);2021;549;13.5224839
PE;Estupro (incluindo Estupro de Vulnerável);2021;2407;24.87908527
PI;Estupro (incluindo Estupro de Vulnerável);2021;1065;32.37780798
PR;Estupro (incluindo Estupro de Vulnerável);2021;6002;51.75260427
RJ;Estupro (incluindo Estupro de Vulnerável);2021;5105;29.23265177
RN;Estupro (incluindo Estupro de Vulnerável);2021;519;14.57495472
RO;Estupro (incluindo Estupro de Vulnerável);2021;922;50.7911185
RR;Estupro (incluindo Estupro de Vulnerável);2021;544;83.34444082
RS;Estupro (incluindo Estupro de Vulnerável);2021;4281;37.33442171
SC;Estupro (incluindo Estupro de Vulnerável);2021;3808;51.89090428
SE;Estupro (incluindo Estupro de Vulnerável);2021;789;33.73995178
SP;Estupro (incluindo Estupro de Vulnerável);2021;11762;25.2137596
TO;Estupro (incluindo Estupro de Vulnerável);2021;832;51.76179867
